,metascore,console,name,date,userscore
1301,98,X360,Grand Theft Auto IV,"Apr 29, 2008",7.9
200,98,XONE,Red Dead Redemption 2,"Oct 26, 2018",5.9
1400,98,PS,Tony Hawk's Pro Skater 2,"Sep 20, 2000",7.4
1300,98,PS3,Grand Theft Auto IV,"Apr 29, 2008",7.5
0,97,PS3,Grand Theft Auto V,"Sep 17, 2013",8.3
201,97,PS4,Red Dead Redemption 2,"Oct 26, 2018",7.7
2300,97,GC,Metroid Prime,"Nov 17, 2002",9.2
321,97,Switch,The Legend of Zelda: Breath of the Wild,"Mar 3, 2017",8.5
743,97,WII,Super Mario Galaxy 2,"May 23, 2010",9.1
356,97,Switch,Super Mario Odyssey,"Oct 27, 2017",8.9
