,metascore,console,name,date,userscore
12836,11,WIIU,Family Party: 30 Great Games Obstacle Arcade,"Dec 4, 2012",1
12641,16,PC,Ride to Hell: Retribution,"Jun 24, 2013",1.2
15646,17,Switch,Vroom in the Night Sky,"Apr 5, 2017",3.1
12640,17,X360,Double Dragon II: Wander of the Dragons,"Apr 5, 2013",1.5
15411,17,PS3,Leisure Suit Larry: Box Office Bust,"May 5, 2009",1.9
15445,17,X360,Yaris,"Oct 10, 2007",4.2
15241,18,WII,SPOGS Racing,"Jul 7, 2008",3.6
12639,19,X360,Ride to Hell: Retribution,"Jun 25, 2013",1.2
14083,19,PC,Alone in the Dark: Illumination,"Jun 11, 2015",1.2
15410,20,PC,Leisure Suit Larry: Box Office Bust,"Mar 31, 2009",2.3
